trial_nr,protocol,article_id,title,web_url,protocol_published_original_column,study_type_pilot,pooled_analysis,post_hoc_secondary_analysis,discipline,continent,sample_size,cci_mismatch_analysis,cd_cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci_12,between_group_difference_of_cci,mean_or_median_used,significance_considered,conclusion_of_authors,protocol_published,study_must_be_excluded,exclusion_reason,comments,comments_2,doi,publication_year,cci_ep,cci_1st_ep,cci_2nd_ep,cci_expl_ep,ss_calculation,cci_used_for_ss_calculation,specification_of_ss_calculation,study_type_mentioned,type_of_study_sup_non_inf,non_inf_margin,definition_of_non_inf_margin
ChiCTR2100045560,Protocol,28,"Effect of perioperative rehabilitation exercise on postoperative outcomes in patients aged ≥65 years undergoing gastrointestinal surgery: A multicenter randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207891939&doi=10.1016%2fj.jclinane.2024.111670&partnerID=40&md5=f3da79824e8ec0b10de5e090d2727e80
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Asia,160,NA,Yes,No,na,Yes,Yes,No,3.9,Mean,Statistical significance,Favorable to intervention,"No protocol,registry",No,NA,NA,NA,https://www.chictr.org.cn/showprojEN.html?proj=124431,NA,CCI primary endpoint,Yes,No,No,Yes,NA,Not mentioned,No,Superiority trial (assumed),NA,NA
NCT06630858,Protocol,34,"Unilateral subcostal anterior quadratus lumborum block versus intrathecal morphine for postoperative pain in laparoscopic nephrectomy: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010756948&doi=10.1136%2frapm-2025-106844&partnerID=40&md5=f7c13289adde60bcdcebb29f2c41e870
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,80,NA,Yes,No,na,No,No,No,1,Median,NA,NA,"No protocol,registry",No,NA,NA,NA,https://clinicaltrials.gov/study/NCT06630858,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,Yes,Non-inferiority trial (explicited),No,NA
NCT03466606,Protocol,42,"Multimodal prehabilitation as a strategy to reduce postoperative complications in cardiac surgery: A randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010867099&doi=10.1097%2fEJA.0000000000002236&partnerID=40&md5=cff6b472f4c8d122e13b96e04d8a577b
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,160,NA,Yes,No,na,No,No,No,0,Median,NA,NA,Protocol published,No,NA,NA,"sample size calculated based on main outcome = % of patients with postop complications in high risk patients for major abdominal surgery, difference of 20%",https://bmjopen.bmj.com/content/10/12/e039885.abstract,NA,CCI not an endpoint,No,No,No,Yes,No,"Sample size for this trial has been calculated based on the primary outcome of the study that is the reduction of incidence of postoperative complications in the prehabilitation group. Our own data in a similar population of patients indicated that the incidence of postoperative complications was 30%. Accepting a two- sided alpha- risk of 0.05 and beta- risk of 0.20, anticipating 10% of drop- outs, indicated the need of including 80 participants per group to detect a reduction of the percentage of patients with complications in the intervention group compared with the control group 20%. No adjustment for multiplicity was proposed due to this is a clinical trial with one primary outcome and without needed of interim analyses.",No,NA,NA,NA
NCT04878185,Protocol,43,"Effect of preoperative exercise on postoperative complications after colorectal cancer surgery in older people with low physical fitness: The CANOPTIPHYS randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006845354&doi=10.1016%2fj.jgo.2025.102280&partnerID=40&md5=ad8febb1696f4249075f1007c6537d4b
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,52,NA,Yes,No,na,No,No,No,8.7,Median,NA,NA,Protocol published,No,NA,NA,sample size calculated based on both main outcome and one other outcome = CDC grade difference with SD of 1.32 + effect on 6-min walk test,10.1186/s13063-022-07026-w,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was calculated based on the primary hypothesis that the intervention would (1) result in better physical performance measured by the 6MWT pre-surgery and (2) result in 1 grade lower post-operative complications according to CD classification 30 days post-surgery. The standard deviation (SD) used in the sample size calculations were based on data reported in a previous study [10]. For both outcomes, the calculations are based on the assumptions of equal group size and calculated for the independent t-test.",Yes,Superiority trial (explicited),NA,NA
TCTR20210527003,Protocol,44,"Portal flow modulation by splenic artery ligation to prevent posthepatectomy liver failure: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002157837&doi=10.1016%2fj.surg.2025.109351&partnerID=40&md5=4d0ad472b4b0686ea18dfcfa76188764
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,36,NA,Yes,No,na,Yes,Yes,Yes,12.2,NA,NA,NA,"No protocol,registry",No,NA,NA,"terminated before sample size because primary outcome (posthepatectomy failure grade B and C) +++ significant. No mention mean or median (only written ""X(min-max)"")",https://www.thaiclinicaltrials.org/show/TCTR20210527003,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT03651154,Protocol,55,"Hypovolaemic phlebotomy in patients undergoing hepatic resection at higher risk of blood loss (PRICE-2): a randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214347564&doi=10.1016%2fS2468-1253%2824%2900307-8&partnerID=40&md5=d0c8390c92f326eac18e26f52bb68f67
",NA,Not pilot study,No,No,Abdominal Surgery,North America,486,NA,Yes,No,na,Yes,No,No,0,Median,NA,NA,Protocol published,No,NA,NA,sample size calculated based on main outcome = periop RBC transfusion incidence decrease of 10%,10.1186/s13063-022-07008-y,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"A review of observational data from The Ottawa Hospital collected between 2010 and 2016 suggests that the cumulative incidence of any perioperative blood transfusion among patients undergoing liver resection is 24% (n=316) [41]. Similarly, data from 85 participating NSQIP hospitals in 2013 documented a transfusion incidence of 22% (n=2448) [9], whereas a Canadian multicentre collaborative documented 26.5% (n=1287) [61]. Our group has documented a transfusion rate of 11.1% in an observational cohort of 45 patients with HP [41]. PRICE-2 is powered to detect a clinically important decrease in perioperative 30-day blood transfusion incidence of 20 to 10% with HP, at 80% power and 5% alpha error (199 patients per arm). A relative risk reduction of 50% has been previously targeted in other transfusion trials in major abdominal surgery [62]. PRICE-2 will include one Haybittle-Peto interim analysis, which does not require sample size adjustment. Allowance is made for a 5% rate of partial protocol compliance or non-compliance in the intervention arm, yielding an 11% increase in total sample size based on the Lachin formula [63]. This trial will thus recruit until 440 patients have been randomized and have had a liver resection after excluding patients that were enrolled and randomized but who did not undergo a liver resection due to disease progression and unresectability identified at surgery (modified intention-to-treat analysis).",Yes,Superiority trial (explicited),NA,NA
NCT05392452,Protocol,59,"Perioperative Fully Closed-loop Versus Usual Care Glucose Management in Adults Undergoing Major Abdominal Surgery A Two-centre Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205759947&doi=10.1097%2fSLA.0000000000006549&partnerID=40&md5=62fc7d7f26b8937b13d695640c5bcbf3
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,38,NA,Yes,No,na,Yes,NA,Yes,17.4,Mean,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = % time glucose concentration in target, difference of 20%",https://clinicaltrials.gov/study/NCT05392452?tab=history&a=3,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04397783,Protocol,64,"Fascial incision shapes and paracolostomy hernia: cruciate vs. reinforced longitudinal (the “Hepworth hitch”): longcross randomized controlled trial (GECO2 STUDY)
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010191571&doi=10.1007%2fs00384-025-04939-1&partnerID=40&md5=ffe3d3b02ab3e422ae6f636b459213e6
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,95,NA,Yes,No,na,No,No,No,5.7,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = reduction from 50% to 20% of rates of parastomal hernia (PH) at 2 years,https://clinicaltrials.gov/study/NCT04397783,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"According to published clinical trials and systematic reviews, up to 50% of patients with a terminal colostomy will develop a parastomal hernia. The estimated risk based on the publication by Manook et al, with the longitudinal incision of the fascia and Hepworth stitches is 10%. With the confidence level to 95% and a statistical power of 80% and having an expected loss ratio of 10% in each group, the sample size should be 21 in each group.",No,NA,NA,NA
NCT06510088,Protocol,67,"Prognostic impact of a 3-week multimodal prehabilitation program on frail elderly patients undergoing elective gastric cancer surgery: a randomized trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209476112&doi=10.1186%2fs12876-024-03490-7&partnerID=40&md5=05f18865851b661a7278cae0b6a38921
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,126,NA,Yes,No,na,No,No,No,0,Median,NA,Neutral,"No protocol,registry",No,NA,used mean and median. In initial protocol they defined co-primary EP,NA,https://clinicaltrials.gov/study/NCT06510088?tab=table,NA,CCI primary endpoint,Yes,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04247776,Protocol,83,"A multimodal prehabilitation class for Enhanced Recovery After Surgery: a pragmatic randomised type 1 hybrid effectiveness-implementation trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002137255&doi=10.1016%2fj.bja.2025.03.001&partnerID=40&md5=05a0a57c188019c76d0b122db169fe76
",NA,Not pilot study,No,No,Abdominal Surgery,North America,110,NA,Yes,Yes,CCI for all and for those suffering a complication,No,Yes,No,8.7,Median,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = LOS difference 2 days; also CCI in mean difference of 0.1 (p>.05), whereas CCI in median difference of 8.7 (p<.05)",https://clinicaltrials.gov/study/NCT04247776,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT00356213,Protocol,88,"Long-Term Outcomes of Laparoscopic Roux-en-Y Gastric Bypass vs Laparoscopic Sleeve Gastrectomy for Obesity: The SM-BOSS Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000138356&doi=10.1001%2fjamasurg.2024.7052&partnerID=40&md5=3ea5979c2d053cd07ccb8587eae9a061
",NA,Not pilot study,No,Yes,Abdominal Surgery,Europe,225,NA,Yes,No,na,Yes,No,No,1,Mean,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = EBMIL for a minimal detectable difference of 10% in excessive BMI loss,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cdn.jamanetwork.com/ama/content_public/journal/jama/936705/joi170159supp1_prod.pdf?Expires=1762313745&Signature=tX8MA9ViPdn8x9YrbcHFZj~wgeZ9FMlJ4CNXUi3gNAR~6UHb0VWSSKksHMo-oUSLxv~nGzcxhUFpiC9qaT3ctF2L6dQrS62yHdJSmXFhy7eCR1DpdvW3Zddmrone~yjRvWbpQUJeyM4toM5siRRlHQcCeN9wOp2RCCzJgvfUlwKZAjcKDMCVjaTxcGFaAkYC-UqtNooQ5BCQD7HdD4RxAJHZnoSZtklCo689rOWe8vBce~KEQqeHRpTaaAWxbe5-qJVIKhGBx~l2AcqLXxusJPg-aka0FHDxj8qjzYbqN9bt41dzATYCRMFs-qJ60YMaadYc7R9IlLz81tP7GN-BFg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,NA,CCI not an endpoint,No,No,No,Yes,No,"In each investigative group a number of 100 patients is needed to have enough statistical power for primary outcome measures. Center 1 has already randomized a number of 35 patients and will add another 45 to a total of 80 patients, the other centers will each add 40 patients. Thus, we estimate a duration of two years to collect the total number of 200 patients for randomization. For power-analysis we estimated minimal differences to be relevant and standard deviations according to the results of our own previous bariatric cohorts, according to our own preliminary results of LSG and LRYGB as well as the literature. Power-analysis for primary outcome measures: o weight loss (1, 2, 3, 4, and 5 years postop):  o If a difference of excessive BMI loss of 10% has to be detected, a total study size of 130 patients would be sufficient (with a standard deviation σ < 20%), with a total of 200 patients a power of 94% could be reached. o to detect a minimal difference of 3 BMI-points lost (standard deviation σ = 5 BMI points) with a power of 80% by two-sample t-test (at a significance level α = 5%) a number of 45 patients in each arm would be sufficient. With a total of 200 patients a power of 99% could be reached, or with a power of 80% a difference in BMI-points of 2 could be detected.",No,Equivalence trial (assumed),NA,NA
REF/2021/08/046152,Protocol,96,"Multicenter Randomised Controlled Trial of Single Versus Double Venous Outflow Reconstruction in Right Lobe Living Donor Liver Transplantation: Venous Outflow in Liver Transplantation Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005201147&doi=10.1097%2fSLA.0000000000006601&partnerID=40&md5=8783e95db3dae941f493e3af8c965b24
",NA,Not pilot study,No,No,Transplant,Asia,219,NA,Yes,No,na,No,No,No,0.4,Mean,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = neo middle hepatic vein 6-week patency, difference of 20%; in this respect study's main outcome was patency UP TO 6 weeks… in their analysis patency at 1 week non-significantly different, but then at 2 weeks and 4 weeks different, and at 6 weeks no longer different.",CTRI/2021/09/036589,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,Yes,Superiority trial (explicited),NA,NA
NCT02857855,Protocol,101,"Postoperative Supplemental Oxygen in Liver Transplantation (PSOLT) does not reduce the rate of infections: results of a randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147970721&doi=10.1186%2fs12916-023-02741-w&partnerID=40&md5=c29275674cd7b9424edba4a5c54686d5
",NA,Not pilot study,No,No,Transplant,Europe,193,NA,Yes,No,na,No,No,No,1.6,Median,NA,NA,"No protocol,registry",No,NA,na,NA,https://clinicaltrials.gov/study/NCT02857855?tab=table,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT02248519,Protocol,117,"The Comprehensive Complication Index versus Clavien-Dindo grading after laparoscopic and open D2-gastrectomy in the multicenter randomized LOGICA-trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175266860&doi=10.1016%2fj.ejso.2023.107095&partnerID=40&md5=0a9c25d76269d850787dd1efc0cbf4a9
",NA,Not pilot study,No,Yes,Abdominal Surgery,Europe,211,postoperative hospital stay in primary analysis. Now 2nd analysis…,Yes,No,na,No,No,No,0,Median,NA,Neutral,Protocol published,No,NA,secondary analysis. Initial primary EP was Length of hospital stay. CCI not even mentioned in the initial protocol and study,NA,DOI 10.1186/s12885-015-1551-z,2015,CCI not an endpoint,No,No,No,Yes,No,"The primary outcome parameter is length of postoperative hospital stay. The hypothesis is that laparoscopic gastrectomy will result in a shorter postoperative hospital stay compared with open gastrectomy. A recent meta-analysis showed that a laparoscopic procedure shortened the median hospital stay from 18 to 14 days [7]. It was calculated (α = 0.05, Power = 0.80) that 210 patients (105 in each treatment arm) are required to detect this 4-day reduction in postoperative hospital stay.",Yes,Superiority trial (explicited),NA,NA
NCT05567094,Protocol,129,"The Effect of Perioperative Dexamethasone on Postoperative Complications after Pancreaticoduodenectomy: A Multicenter Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193407432&doi=10.1097%2fSLA.0000000000006240&partnerID=40&md5=b0cdc2b6d3abffe2b330f3caa0578fed
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Asia,300,NA,Yes,No,na,No,No,No,3.9,Mean,NA,Neutral,Protocol published,No,NA,NA,NA,doi: 10.1186/s13063-023-07571-y.,NA,CCI primary endpoint,Yes,No,No,Yes,Yes,"The Finland RCT reported that perioperative hydrocortisone significantly reduced postoperative complications after PD in high-risk patients (18% vs. 41%; P < 0.05; Clavien-Dindo III-IV) [14]. Based on the pancreatic transection line frozen samples, high-risk patients with >40% acini consisted of more than half of the cohort. Because 0.2 mg/kg dexamethasone has theoretically a similar anti-inflammatory effect to hydrocortisone, so we presume that the perioperative dexamethasone could reduce at least 30% of major complications in the whole PD cohort. For the sample size calculation, a 30% reduction in the rate of overall complications was assumed with a power of 80% (β=0·2), and an α-error of 0.05. This yielded an estimated group size of 128 patients. Finally, the sample size of this study is based on the primary outcome — CCI. Because CCI is more sensitive and requires a smaller sample size compared to the Clavien-Dindo classification in RCT, 128 patients in each group are sufficient for the primary outcomes [24]. Finally, the target recruitment of the PANDEX trial will be set at 300 to account for 20% dropout or deviation of the protocol. Thus, 150 patients are required in each group.",No,NA,NA,NA
NCT04281667,Protocol,131,"Morbidity after Mechanical Bowel Preparation and Oral Antibiotics Prior to Rectal Resection: The MOBILE2 Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190260619&doi=10.1001%2fjamasurg.2024.0184&partnerID=40&md5=b2bafc5dee65896bdc3b27a44fcf1e9f
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,610,NA,Yes,No,na,Yes,Yes,No,8.7,Median,Both statistical and clinical significance,Favorable to intervention,Protocol published,No,NA,NA,NA,doi: 10.1136/bmjopen-2021-051269.,NA,CCI primary endpoint,Yes,No,No,Yes,Yes,"In Helsinki University Hospital, the number of leakages/ abscesses related to low anterior resections performed in 2005–2011 was 12.8%, but minor wound complications were not reported.23 In our previous randomised MOBILE study comparing MOABP to NBP, patients undergoing colon resection had leakage/abscess rate of approximately 6%–8% and a CCI of 9–10 with SD 13–16.13 Based on these figures, we estimate that the CCI is higher in rectal surgery than in colon surgery and the SD may also be higher. Sample size was calculated with the aim of showing a difference of 5 CCI points between the groups (hypothesis: 12.5 points in the MOABP group, 17.5 points in the MBP group). The SD is estimated to be 18 in both groups. With a power of 90% and a margin of error of 5%, 574 patients need to be recruited (Willcoxon- Mann- Whitney test). About 5% of patients are estimated to become lost to follow- up, resulting in a final sample size of 604 patients.",Yes,Superiority trial (explicited),NA,NA
NCT01441856,Protocol,146,"Laparoscopic Versus Open Hemihepatectomy: The ORANGE II PLUS Multicenter Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191736660&doi=10.1200%2fJCO.23.01019&partnerID=40&md5=e1dcc7f9b2e8212e56986ff9daec006b
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,352,NA,Yes,Yes,rate of CCI >0,Yes,NA,NA,NA,NA,NA,NA,Protocol unpublished,No,NA,NA,sample size calculated not based on main outcome (no data) but secondary outcome = LOS,supplementary material of the results paper,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"The estimated sample sizes for these parallel group superiority trials are based on the primary outcome variable. Unfortunately, data on time to functional recovery in liver surgery is scarce.. In absence of data on time to functional recovery, hospital length of stay (LOS) is used instead of time to functional recovery to calculate the required sample size. It  has been consistently shown that time to functional recovery is approximately 2 days less than LOS for most patients and for both treatment arms. 1,33  Laparoscopic surgery (for either hemihepatectomy or parenchymal preserving posterosuperior liver segment resection) is hypothesised to shorten time to functional recovery with 2 days in comparison to patients undergoing the open procedure. Assuming a standard deviation (SD) of 5.0 days for time to functional recovery, the implied effect size d becomes 0.40 (2/5). This effect size estimate is based on reports that showed that mean LOS and SD for laparoscopic hemihepatectomy were 8.5 and 5 days and mean LOS for open hemihepatectomy was 11.1 days and on reports that showed that the median LOS and range for laparoscopic parenchymal preserving posterosuperior liver segment resection were 4 days (1-11 days) and for open parenchymal preserving posterosuperior liver segment resection were 6 days (3-44 days). 34-37  Taking into account a drop-out rate of 10% and a loss in degrees of freedom for estimating covariate effects (5 participating centres, hemihepatectomy side or tumour size), a total sample size of 250 patients (125 per arm) is planned to demonstrate a 2-day reduction in time to functional recovery with a two-sided 4% level of significance and a power of 80%. A two-sided 4% level of significance is used instead of 5% in view of the planned interim analysis halfway the trial with a two-sided 1% level of significance, thus preserving an overall type I error rate of 5%.38",Yes,Superiority trial (explicited),NA,NA
DRKS00027531,Protocol,148,"Robotic versus laparoscopic hepatectomy for liver malignancies (ROC'N'ROLL): a single-centre, randomised, controlled, single-blinded clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197272340&doi=10.1016%2fj.lanepe.2024.100972&partnerID=40&md5=062eb229c4df97a0c432a257ec295ca9
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,81,NA,Yes,No,na,No,No,No,6.6,Mean,NA,NA,Protocol unpublished,No,NA,NA,sample size calculated based on main outcome = QoL within 90 days after surgery with mean difference of 13%,supplementary material of the results paper,NA,CCI not an endpoint,No,No,No,Yes,No,"The sample size calculation is based on the primary endpoint the mean quality of life within 90 days after surgery measured by the role functioning scale of the European Organisation for Research and Treatment of Cancer (EORTC) QLQ-C30 questionnaire. A longitudinal analysis of covariance will be performed by estimating a linear mixed model with fixed effects for baseline values, time and interaction between time and group variable. Previously published studies revealed changes up to 20 points in the role functioning scale within 3 months of patients who underwent liver resections for liver maligncancies.5,9-11,35 In a previous randomized trial a mean difference of 13% in the role functioning scale was determined to be a clinically significant change in patients treated by laparoscopic or open liver surgery.5 This translates into a “moderate” change of the quality of life.36 Thus, we hypothetized a mean difference of 13 points (20% standard deviation) in the role functioning scale in favor of robotic-assisted surgery to be clinically relevant.  In accordance with the above criteria, a total of 38 patients per group will enable the detection of clinically significant difference (13 points) in the role functioning within 90 days (measured at three time points: 30 days, 60 days, 90 days) at the significance level α = 0.05 and a power of 80 % (β = 0.20). Assuming a conservative attrition rate of 15% including dropouts, withdrawals, or loss to follow-up, a total of 45 patients will provide adequate power for the statistical analysis. S",Yes,Superiority trial (explicited),NA,NA
ChiCTR2100045052,Protocol,149,"Early mobilization after pancreatic surgery: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199485694&doi=10.1016%2fj.surg.2024.06.027&partnerID=40&md5=55efdb8ff057bc96c51264f9c07b0fb5
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,140,postoperative complication (no classificaiton),Yes,No,na,No,No,No,1.7,Mean,NA,Neutral,"No protocol,registry",No,NA,"used median, but then mean difference?",NA,https://www.chictr.org.cn/showprojEN.html?proj=122535,2021,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04057586,Protocol,158,"Effects of nonintubated thoracoscopic surgery on postoperative neurocognitive function: a randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182261708&doi=10.1093%2fejcts%2fezad434&partnerID=40&md5=e74324dbf0d1deebeb16fc35ebb19ba7
",NA,Not pilot study,No,No,Thoracic,Asia,110,NA,Yes,No,na,Yes,Yes,No,2.9,Mean,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = neurocognitive functions via difference in Qmci-TW test score for a median score of 5,https://clinicaltrials.gov/study/NCT04057586,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT03901937,Protocol,163,"Parenteral n–3 polyunsaturated fatty acids supplementation improves postoperative recovery for patients with Crohn's disease after bowel resection: a randomized, unblinded controlled clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187560008&doi=10.1016%2fj.ajcnut.2023.12.022&partnerID=40&md5=02bfad26fc7f1e3f744e9180c10c39dd
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,268,NA,Yes,Yes,"CCI, CCI for patients with complications",Yes,Yes,No,0,Median,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = incidence of postoperative complications reduction from 40% to 20%;despite difference CCI of 0, p <0.001; CCI for patients with complications, PP: difference CCI of 3.2pts, p=0.011",https://clinicaltrials.gov/study/NCT03901937?tab=table#outcome-measures,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
ACTRN12621000530820,Protocol,174,"Pyridostigmine to Reduce the duration of postoperative Ileus after Colorectal surgery (PyRICo-RCT): randomized clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193207851&doi=10.1093%2fbjs%2fznae121&partnerID=40&md5=d075f3e0f153dc08d5478a7bd3b765d1
",NA,Not pilot study,No,No,Abdominal Surgery,Australia/ New Zealand,130,NA,Yes,No,na,Yes,No,No,1.7,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome =  1-day reduction in GI-2,https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=381752&isReview=true,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04223401,Protocol,179,"Effect of home-based prehabilitation on postoperative complications after surgery for gastric cancer: randomized clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176508400&doi=10.1093%2fbjs%2fznad312&partnerID=40&md5=eab9ba192b5fb25be3c618f17ba25063
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,128,NA,Yes,No,NA,Yes,Yes,No,8.9,Mean,NA,NA,Protocol published,No,NA,NA,sample size calculated based on main outcome = % of patients with postop complications (based on historical RCT),10.1097/MD.0000000000020687,NA,CCI not an endpoint,No,No,No,Yes,No,"The sample size calculation was done using G∗Power 3.1.9.4 software using the reduction of 90 days postoperative complication rates as the primary outcome. Based on the assumption that the percentage of patients developing postoperative complications after gastrectomy is approximately 50% for the control group (based on our centers historical experience and results from RCTs)[2,3] and can be reduced to 25% in the prehabilitation group (based on results of recent RCT showing 50% reduction of postoperative complications by prehabilitation),[15] a group sample size of 58 patients is needed to achieve 80% power in detecting this difference in 90-days postoperative morbidity at a two-sided level of significance of 5%. Under the assumption of a drop-out rate of up to 10%, a total of 128 patients (64 per group) needs to be enrolled in the study.",No,NA,NA,NA
NCT03785743,Protocol,184,"Short-Term Outcomes Following Laparoscopic vs Open Pancreaticoduodenectomy in Patients with Pancreatic Ductal Adenocarcinoma: A Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179476999&doi=10.1001%2fjamasurg.2023.5210&partnerID=40&md5=d9693bb62b97b836abc5e623715912a1
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,200,NA,Yes,No,na,NA,No,No,8.7,Median,NA,NA,Protocol published,No,NA,non-inferiority,sample size calculated based on main outcome = 5-year OS rate,https://bmjopen.bmj.com/content/12/4/e057128.long,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size calculation was performed according to the primary endpoint, the 5-year OS rate, and the non-inferiority design of this trial. Assumptions were made based on a previous study by Kuesters et al,25 which compared LPD with OPD for PDAC treatment with the 5-year OS rate being 20% in the LPD group and 14% in the OPD group. Based on the 6% decrease in 5-year OS rate in the OPD group compared with the LPD group, the sample size required for each group was estimated to be 86 patients to achieve a non-inferiority limit of 10% at a one-tailed significance level of 2.5% with a power of 80% and a balanced design (1:1 ratio). Moreover, the primary analyses will be based on the modified intention-to-treat (mITT), per-protocol (PP) and as-treated (AT) sets. We aimed to reach a statistical power of 80% when analysing the smallest population, namely the PP set.",Yes,Non-inferiority trial (explicited),Yes,"The sample size calculation was done using G∗Power 3.1.9.4 software using the reduction of 90 days postoperative complication rates as the primary outcome. Based on the assumption that the percentage of patients developing postoperative complications after gastrectomy is approximately 50% for the control group (based on our centers historical experience and results from RCTs)[2,3] and can be reduced to 25% in the prehabilitation group (based on results of recent RCT showing 50% reduction of postoperative complications by prehabilitation),[15] a group sample size of 58 patients is needed to achieve 80% power in detecting this difference in 90-days postoperative morbidity at a two-sided level of significance of 5%. Under the assumption of a drop-out rate of up to 10%, a total of 128 patients (64 per group) needs to be enrolled in the study."
